# BUSCO version is: 4.0.5 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2019-11-20, number of species: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
105at7088	Complete	M24_B27_H18b	7283356	7309436	5486.7	3617	https://www.orthodb.org/v10?query=105at7088	uncharacterized protein LOC106123073
106at7088	Complete	M08_B17_H15	3587996	3611010	1843.0	1374	https://www.orthodb.org/v10?query=106at7088	small subunit processome component 20 homolog
112at7088	Complete	M03_B15_H11	10578204	10606339	3674.0	1820	https://www.orthodb.org/v10?query=112at7088	Ubiquitin carboxyl-terminal hydrolase
113at7088	Complete	M01_B01_H21	5706820	5823438	3377.0	1688	https://www.orthodb.org/v10?query=113at7088	kalirin
116at7088	Complete	M02_B04_H01a	13318409	13331575	3326.9	1688	https://www.orthodb.org/v10?query=116at7088	myosin-VIIa-like
122at7088	Complete	M21_B16_H02	2691974	2762743	3537.6	1843	https://www.orthodb.org/v10?query=122at7088	tetratricopeptide repeat protein 28
123at7088	Complete	M18_B25_H08	3241314	3263561	2187.1	1017	https://www.orthodb.org/v10?query=123at7088	DNA polymerase epsilon catalytic subunit A
126at7088	Complete	M21_B16_H02	9792632	9827592	2645.0	1338	https://www.orthodb.org/v10?query=126at7088	phosphatidylinositol 4-kinase alpha isoform X1
127at7088	Complete	M19_B21_H04	9729820	9784567	2482.6	1780	https://www.orthodb.org/v10?query=127at7088	uncharacterized protein LOC106104714
128at7088	Missing
133at7088	Complete	M08_B17_H15	4555521	4566601	1936.1	1733	https://www.orthodb.org/v10?query=133at7088	uncharacterized protein LOC106140978
136at7088	Complete	M02_B04_H01a	5105133	5159757	1920.9	1564	https://www.orthodb.org/v10?query=136at7088	piezo-type mechanosensitive ion channel component isoform X1
137at7088	Complete	M14_B23a_H18a	8517770	8579283	2781.1	1961	https://www.orthodb.org/v10?query=137at7088	proto-oncogene tyrosine-protein kinase ROS
138at7088	Complete	M08_B17_H15	12200028	12241412	2267.3	1812	https://www.orthodb.org/v10?query=138at7088	protein abnormal spindle
139at7088	Complete	M07_B18_H16	1823797	1835278	3038.7	1602	https://www.orthodb.org/v10?query=139at7088	protein pecanex-like
140at7088	Complete	M12_B11a_H07a	12245333	12292236	1884.0	867	https://www.orthodb.org/v10?query=140at7088	supervillin-like isoform X1
145at7088	Complete	M19_B21_H04	10417141	10445712	3412.1	1613	https://www.orthodb.org/v10?query=145at7088	Sodium channel protein
148at7088	Complete	M17_B03_H05	10747337	10824655	2327.1	1325	https://www.orthodb.org/v10?query=148at7088	uncharacterized protein LOC111354061
155at7088	Complete	M05_B06_H03	15530901	15549581	3953.4	2382	https://www.orthodb.org/v10?query=155at7088	Adenomatous polyposis coli protein
158at7088	Complete	M16_B19_H14	5140402	5196120	2388.4	1289	https://www.orthodb.org/v10?query=158at7088	Sodium channel protein
159at7088	Complete	M18_B25_H08	8217907	8228158	1856.2	935	https://www.orthodb.org/v10?query=159at7088	zinc finger FYVE domain-containing protein 26 homolog
160at7088	Complete	M11_B22_H13a	8709771	8749034	2560.2	1090	https://www.orthodb.org/v10?query=160at7088	protein still life, isoform SIF type 1
163at7088	Complete	M15_B13_H17a	12406894	12433080	3081.3	1628	https://www.orthodb.org/v10?query=163at7088	LOW QUALITY PROTEIN: low-density lipoprotein receptor-related protein 4-like
173at7088	Complete	M21_B16_H02	9254796	9290568	3198.5	1464	https://www.orthodb.org/v10?query=173at7088	clathrin heavy chain
177at7088	Complete	M08_B17_H15	2602811	2628074	3504.5	1717	https://www.orthodb.org/v10?query=177at7088	voltage-dependent T-type calcium channel subunit alpha-1G-like
179at7088	Complete	M04_B12_H19a	4554522	4590837	3032.6	1458	https://www.orthodb.org/v10?query=179at7088	uncharacterized protein LOC101741868
183at7088	Complete	M04_B12_H19a	7398862	7422747	1783.9	1047	https://www.orthodb.org/v10?query=183at7088	LOW QUALITY PROTEIN: E3 ubiquitin-protein ligase HECTD1
184at7088	Complete	M05_B06_H03	637070	677443	2941.4	1492	https://www.orthodb.org/v10?query=184at7088	cadherin-89D
186at7088	Complete	M09_B10_H20a	9416147	9428961	3102.6	1640	https://www.orthodb.org/v10?query=186at7088	nucleosome-remodeling factor subunit NURF301
190at7088	Complete	M24_B27_H18b	2140656	2188461	2628.2	1294	https://www.orthodb.org/v10?query=190at7088	NACHT and WD repeat domain-containing protein 2
193at7088	Complete	M12_B11a_H07a	874357	889600	3402.3	1556	https://www.orthodb.org/v10?query=193at7088	brefeldin A-inhibited guanine nucleotide-exchange protein 1
196at7088	Missing
200at7088	Complete	M20_B07_H09	856047	897298	2661.5	1380	https://www.orthodb.org/v10?query=200at7088	protein unc-79 homolog
201at7088	Complete	M10_B09_H06a	3453999	3478520	2902.0	1457	https://www.orthodb.org/v10?query=201at7088	uncharacterized protein LOC105392584
204at7088	Complete	M06_B05_H10a	7939327	7956650	2514.0	1406	https://www.orthodb.org/v10?query=204at7088	uncharacterized protein LOC106100576
206at7088	Complete	M03_B15_H11	7023391	7046665	1878.6	796	https://www.orthodb.org/v10?query=206at7088	protein sickie isoform X1
207at7088	Complete	M08_B17_H15	14722047	14738137	2386.6	1541	https://www.orthodb.org/v10?query=207at7088	WD repeat-containing protein 81
208at7088	Complete	M06_B05_H10a	9532986	9555967	2437.3	1416	https://www.orthodb.org/v10?query=208at7088	ras GTPase-activating-like protein IQGAP1
210at7088	Complete	M06_B05_H10a	9927337	9944007	3634.9	1704	https://www.orthodb.org/v10?query=210at7088	DNA-directed RNA polymerase II subunit RPB1
211at7088	Complete	M09_B10_H20a	7040716	7053924	3084.4	1673	https://www.orthodb.org/v10?query=211at7088	spatacsin
212at7088	Complete	M01_B01_H21	11828515	11847192	2873.9	1474	https://www.orthodb.org/v10?query=212at7088	laminin subunit gamma-1
215at7088	Complete	M17_B03_H05	5098550	5122381	3305.3	1655	https://www.orthodb.org/v10?query=215at7088	LOW QUALITY PROTEIN: brefeldin A-inhibited guanine nucleotide-exchange protein 3
220at7088	Complete	M13_B08_H12a	6636512	6645496	1322.7	653	https://www.orthodb.org/v10?query=220at7088	Dual oxidase 1
231at7088	Complete	M20_B07_H09	6934463	6948255	1958.2	1095	https://www.orthodb.org/v10?query=231at7088	LOW QUALITY PROTEIN: uncharacterized protein LOC101738815
232at7088	Complete	M09_B10_H20a	9033874	9055581	3174.4	1590	https://www.orthodb.org/v10?query=232at7088	nipped-B-like protein
235at7088	Complete	M02_B04_H01a	15162879	15177936	3157.0	1815	https://www.orthodb.org/v10?query=235at7088	HEAT repeat-containing protein 1
236at7088	Complete	M06_B05_H10a	15626567	15652792	2271.1	1523	https://www.orthodb.org/v10?query=236at7088	nucleoporin NUP188 homolog
242at7088	Complete	M11_B22_H13a	13039601	13076042	3081.5	1705	https://www.orthodb.org/v10?query=242at7088	uncharacterized protein LOC111002222
246at7088	Complete	M16_B19_H14	12264993	12337654	1858.5	1029	https://www.orthodb.org/v10?query=246at7088	transient receptor potential cation channel trpm isoform X1
248at7088	Complete	M19_B21_H04	10234313	10259081	2383.6	1106	https://www.orthodb.org/v10?query=248at7088	unconventional myosin-IXa-like isoform X1
250at7088	Complete	M20_B07_H09	8812145	8867840	2685.5	1224	https://www.orthodb.org/v10?query=250at7088	DE-cadherin isoform X1
251at7088	Complete	M03_B15_H11	10308650	10325528	3050.0	2119	https://www.orthodb.org/v10?query=251at7088	E3 SUMO-protein ligase RanBP2-like
254at7088	Complete	M09_B10_H20a	14562779	14584175	3511.1	1778	https://www.orthodb.org/v10?query=254at7088	chromodomain-helicase-DNA-binding protein Mi-2 homolog isoform X1
258at7088	Complete	M30_B23b_H20b	5683566	5697484	839.8	575	https://www.orthodb.org/v10?query=258at7088	uncharacterized protein LOC106142077
259at7088	Complete	M24_B27_H18b	4279535	4296061	1261.2	725	https://www.orthodb.org/v10?query=259at7088	uncharacterized protein LOC106138037
263at7088	Complete	M23_B26_H19b	5567291	5612644	2711.6	1412	https://www.orthodb.org/v10?query=263at7088	protein polybromo-1
266at7088	Complete	M01_B01_H21	12925767	12948814	2171.3	1049	https://www.orthodb.org/v10?query=266at7088	disco-interacting protein 2 isoform X1
270at7088	Complete	M01_B01_H21	12444420	12469273	3483.2	2122	https://www.orthodb.org/v10?query=270at7088	PHD finger protein rhinoceros
271at7088	Complete	M12_B11a_H07a	11923112	11936508	2619.5	1360	https://www.orthodb.org/v10?query=271at7088	uncharacterized protein LOC106109654
273at7088	Complete	M05_B06_H03	15030824	15057167	1918.4	1333	https://www.orthodb.org/v10?query=273at7088	Cadherin-like protein
274at7088	Complete	M13_B08_H12a	13887516	13893963	2783.1	1464	https://www.orthodb.org/v10?query=274at7088	DNA-directed RNA polymerase I subunit RPA1
278at7088	Complete	M02_B04_H01a	8243140	8253669	1267.3	652	https://www.orthodb.org/v10?query=278at7088	uncharacterized protein LOC111352582
281at7088	Complete	M09_B10_H20a	12928558	12943701	2433.1	1321	https://www.orthodb.org/v10?query=281at7088	uncharacterized protein LOC105389625
288at7088	Complete	M27_B24a_H01b	4501888	4545667	2875.9	1915	https://www.orthodb.org/v10?query=288at7088	uncharacterized protein LOC106140763
296at7088	Complete	M01_B01_H21	8536973	8548523	2062.2	1443	https://www.orthodb.org/v10?query=296at7088	uncharacterized protein LOC106113881
302at7088	Complete	M24_B27_H18b	2377109	2415170	2184.8	1033	https://www.orthodb.org/v10?query=302at7088	Calcium-dependent secretion activator
303at7088	Complete	M02_B04_H01a	9586629	9618737	2458.7	1857	https://www.orthodb.org/v10?query=303at7088	serine-protein kinase ATM
307at7088	Complete	M05_B06_H03	6047007	6080773	2653.9	1363	https://www.orthodb.org/v10?query=307at7088	protocadherin-15
311at7088	Complete	M07_B18_H16	6676152	6702228	2476.5	1415	https://www.orthodb.org/v10?query=311at7088	Gamma-tubulin complex component 6
315at7088	Complete	M14_B23a_H18a	1814154	1830819	2674.7	1357	https://www.orthodb.org/v10?query=315at7088	uncharacterized protein LOC105388963
316at7088	Complete	M15_B13_H17a	12268564	12282535	3242.9	2485	https://www.orthodb.org/v10?query=316at7088	protein lava lamp-like
318at7088	Complete	M04_B12_H19a	12222907	12231448	2165.7	1221	https://www.orthodb.org/v10?query=318at7088	cadherin-86C
321at7088	Complete	M01_B01_H21	4108840	4116291	2050.1	1387	https://www.orthodb.org/v10?query=321at7088	uncharacterized protein LOC106130599
322at7088	Complete	M05_B06_H03	15154605	15171274	1774.2	1105	https://www.orthodb.org/v10?query=322at7088	uncharacterized protein LOC106136812
324at7088	Complete	M06_B05_H10a	11733905	11750372	2471.5	1242	https://www.orthodb.org/v10?query=324at7088	myosin-IIIb-like isoform X1
325at7088	Complete	M12_B11a_H07a	16647725	16665479	2363.8	1392	https://www.orthodb.org/v10?query=325at7088	protein virilizer
326at7088	Complete	M02_B04_H01a	16132118	16149517	2569.0	1374	https://www.orthodb.org/v10?query=326at7088	maestro heat-like repeat-containing protein family member 1
327at7088	Complete	M08_B17_H15	14568044	14607219	2655.5	2036	https://www.orthodb.org/v10?query=327at7088	uncharacterized protein LOC110378203
328at7088	Complete	M17_B03_H05	15950884	15959201	2270.5	1269	https://www.orthodb.org/v10?query=328at7088	Nucleolar pre-ribosomal-associated protein 1
332at7088	Complete	M06_B05_H10a	9235871	9261889	2803.7	1526	https://www.orthodb.org/v10?query=332at7088	chromodomain-helicase-DNA-binding protein 1
335at7088	Complete	M30_B23b_H20b	7571331	7582507	2092.5	1168	https://www.orthodb.org/v10?query=335at7088	uncharacterized protein LOC111000708
338at7088	Complete	M08_B17_H15	8399081	8417269	1814.3	890	https://www.orthodb.org/v10?query=338at7088	transcription initiation factor TFIID subunit 1 isoform X1
340at7088	Complete	M07_B18_H16	1978204	2002845	2615.9	1703	https://www.orthodb.org/v10?query=340at7088	uncharacterized protein LOC105388073
342at7088	Complete	M11_B22_H13a	15358382	15380987	1555.8	1096	https://www.orthodb.org/v10?query=342at7088	uncharacterized protein LOC101737053
345at7088	Complete	M22_B28_H10b	3945931	3971437	2867.2	1478	https://www.orthodb.org/v10?query=345at7088	trichohyalin-like
350at7088	Complete	M09_B10_H20a	8954644	8970334	1940.6	1114	https://www.orthodb.org/v10?query=350at7088	tectonin beta-propeller repeat-containing protein
353at7088	Complete	M24_B27_H18b	7512746	7533375	1565.1	792	https://www.orthodb.org/v10?query=353at7088	rho GTPase-activating protein 190-like
354at7088	Complete	M14_B23a_H18a	10450143	10455595	2429.1	1101	https://www.orthodb.org/v10?query=354at7088	toll-like receptor 6
355at7088	Complete	M14_B23a_H18a	2601605	2633247	2372.5	1166	https://www.orthodb.org/v10?query=355at7088	protein TANC2 isoform X1
356at7088	Complete	M05_B06_H03	10075920	10104680	1403.7	1288	https://www.orthodb.org/v10?query=356at7088	uncharacterized protein LOC110992145
357at7088	Complete	M23_B26_H19b	13004540	13031754	2157.5	1214	https://www.orthodb.org/v10?query=357at7088	uncharacterized protein LOC110994148
360at7088	Complete	M01_B01_H21	13687220	13707278	2224.8	1043	https://www.orthodb.org/v10?query=360at7088	potassium channel subfamily T member 2
363at7088	Complete	M20_B07_H09	13125122	13146256	2470.9	1531	https://www.orthodb.org/v10?query=363at7088	calcineurin-binding protein cabin-1-like
366at7088	Complete	M12_B11a_H07a	9238215	9274299	2503.9	1492	https://www.orthodb.org/v10?query=366at7088	nucleoprotein TPR
367at7088	Complete	M10_B09_H06a	9147859	9176867	2200.6	1187	https://www.orthodb.org/v10?query=367at7088	uncharacterized protein LOC106103483
375at7088	Complete	M14_B23a_H18a	11478522	11506012	1801.8	1164	https://www.orthodb.org/v10?query=375at7088	Apaf-1
380at7088	Complete	M13_B08_H12a	3529141	3555630	1853.1	941	https://www.orthodb.org/v10?query=380at7088	von Willebrand factor A domain-containing protein 8
382at7088	Complete	M17_B03_H05	15302643	15324346	1888.1	1189	https://www.orthodb.org/v10?query=382at7088	uncharacterized protein LOC105384963
383at7088	Complete	M09_B10_H20a	8927419	8947758	2763.8	1225	https://www.orthodb.org/v10?query=383at7088	splicing factor 3B subunit 1
384at7088	Complete	M06_B05_H10a	13139384	13154467	2271.1	1339	https://www.orthodb.org/v10?query=384at7088	uncharacterized protein LOC110994888
385at7088	Complete	M18_B25_H08	8146978	8173000	2583.4	1429	https://www.orthodb.org/v10?query=385at7088	proteasome activator complex subunit 4B-like
386at7088	Complete	M12_B11a_H07a	6300926	6311595	2396.7	1107	https://www.orthodb.org/v10?query=386at7088	splicing factor 3B subunit 3 isoform X1
389at7088	Complete	M01_B01_H21	16347047	16366886	2181.4	1041	https://www.orthodb.org/v10?query=389at7088	mediator of RNA polymerase II transcription subunit 23
391at7088	Complete	M01_B01_H21	5333548	5365889	2201.6	1107	https://www.orthodb.org/v10?query=391at7088	sterol regulatory element-binding protein cleavage-activating protein
392at7088	Complete	M03_B15_H11	10394358	10415168	1234.3	688	https://www.orthodb.org/v10?query=392at7088	UDP-glucose:glycoprotein glucosyltransferase
393at7088	Complete	M19_B21_H04	8874069	8883090	585.3	328	https://www.orthodb.org/v10?query=393at7088	C-myc promoter-binding protein-like
394at7088	Complete	M05_B06_H03	9144714	9170518	2668.1	1341	https://www.orthodb.org/v10?query=394at7088	uncharacterized protein LOC111356302
396at7088	Complete	M04_B12_H19a	7236395	7250865	1518.9	1007	https://www.orthodb.org/v10?query=396at7088	rab3 GTPase-activating protein regulatory subunit
401at7088	Complete	M04_B12_H19a	12073799	12119253	2177.4	1084	https://www.orthodb.org/v10?query=401at7088	ASK1
408at7088	Complete	M02_B04_H01a	12690527	12708397	2303.1	1311	https://www.orthodb.org/v10?query=408at7088	uncharacterized protein LOC110371077
412at7088	Complete	M09_B10_H20a	2078104	2141459	2165.1	1305	https://www.orthodb.org/v10?query=412at7088	protein outspread
417at7088	Complete	M18_B25_H08	8116970	8146505	1942.3	1045	https://www.orthodb.org/v10?query=417at7088	helicase SKI2W
420at7088	Complete	M20_B07_H09	3977990	3999586	1200.9	605	https://www.orthodb.org/v10?query=420at7088	rho guanine nucleotide exchange factor 17 isoform X1
427at7088	Complete	M30_B23b_H20b	8030030	8070926	2066.6	1279	https://www.orthodb.org/v10?query=427at7088	uncharacterized protein LOC105385596
429at7088	Complete	M14_B23a_H18a	1187042	1223068	2357.6	1693	https://www.orthodb.org/v10?query=429at7088	uncharacterized protein LOC105388960
430at7088	Complete	M05_B06_H03	12783834	12796181	2401.6	1202	https://www.orthodb.org/v10?query=430at7088	chaoptin
434at7088	Complete	M03_B15_H11	13754181	13765523	811.7	519	https://www.orthodb.org/v10?query=434at7088	DNA polymerase
437at7088	Complete	M25_B20_H12b	4981357	5001890	1971.1	984	https://www.orthodb.org/v10?query=437at7088	sister chromatid cohesion protein PDS5 homolog B
443at7088	Complete	M04_B12_H19a	9609512	9621727	2282.6	1154	https://www.orthodb.org/v10?query=443at7088	Xanthine dehydrogenase
445at7088	Complete	M10_B09_H06a	9478283	9497057	2195.8	1422	https://www.orthodb.org/v10?query=445at7088	uncharacterized protein LOC106120650
450at7088	Complete	M03_B15_H11	16101973	16116724	2099.0	1227	https://www.orthodb.org/v10?query=450at7088	Zinc finger protein
455at7088	Duplicated	M02_B04_H01a	5098591	5105129	2575.2	1089	https://www.orthodb.org/v10?query=455at7088	DNA-directed RNA polymerase II subunit RPB2
455at7088	Duplicated	M02_B04_H01a	5085515	5098170	2419.7	1089	https://www.orthodb.org/v10?query=455at7088	DNA-directed RNA polymerase II subunit RPB2
456at7088	Complete	M14_B23a_H18a	10782809	10798551	1998.0	1181	https://www.orthodb.org/v10?query=456at7088	toll-like receptor 6
458at7088	Complete	M21_B16_H02	5905365	5972748	1197.9	1254	https://www.orthodb.org/v10?query=458at7088	uncharacterized protein LOC106137067
461at7088	Complete	M09_B10_H20a	4535419	4578263	2129.4	1112	https://www.orthodb.org/v10?query=461at7088	inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2-like isoform X1
464at7088	Complete	M10_B09_H06a	12618641	12639176	1254.7	1132	https://www.orthodb.org/v10?query=464at7088	LOC101744043
467at7088	Complete	M13_B08_H12a	15373320	15410775	2309.8	1193	https://www.orthodb.org/v10?query=467at7088	Phosphoribosylformylglycinamidine cyclo-ligase
468at7088	Complete	M12_B11a_H07a	4975029	5040473	1687.7	1152	https://www.orthodb.org/v10?query=468at7088	uncharacterized protein LOC111358843
478at7088	Complete	M03_B15_H11	2240841	2275555	1360.0	922	https://www.orthodb.org/v10?query=478at7088	uncharacterized protein LOC111000693
479at7088	Complete	M20_B07_H09	8191161	8211402	2284.2	1349	https://www.orthodb.org/v10?query=479at7088	adenylate cyclase type 10-like
481at7088	Complete	M11_B22_H13a	8174361	8203885	1806.0	952	https://www.orthodb.org/v10?query=481at7088	phosphoribosylformylglycinamidine synthase
486at7088	Complete	M12_B11a_H07a	13920229	13943765	2514.6	1291	https://www.orthodb.org/v10?query=486at7088	DNA topoisomerase 2
488at7088	Complete	M26_B14_H13b	8428330	8464949	1384.8	914	https://www.orthodb.org/v10?query=488at7088	uncharacterized protein LOC111354620
489at7088	Complete	M21_B16_H02	10913817	10935935	1215.0	2077	https://www.orthodb.org/v10?query=489at7088	uncharacterized protein LOC101742695
490at7088	Complete	M09_B10_H20a	5557251	5585501	1519.3	1165	https://www.orthodb.org/v10?query=490at7088	restin homolog isoform X1
492at7088	Complete	M17_B03_H05	8607874	8619252	1742.7	944	https://www.orthodb.org/v10?query=492at7088	uncharacterized protein LOC101739889
494at7088	Complete	M10_B09_H06a	4543115	4588131	2440.0	1531	https://www.orthodb.org/v10?query=494at7088	Methyl-CpG-binding domain protein 5
495at7088	Complete	M02_B04_H01a	13999798	14008720	2460.2	1296	https://www.orthodb.org/v10?query=495at7088	neither inactivation nor afterpotential protein C isoform X1
496at7088	Complete	M27_B24a_H01b	1705463	1758668	1476.4	793	https://www.orthodb.org/v10?query=496at7088	nephrin
498at7088	Complete	M15_B13_H17a	4767126	4785746	1923.2	954	https://www.orthodb.org/v10?query=498at7088	leucine--tRNA ligase, cytoplasmic
499at7088	Complete	M09_B10_H20a	8137831	8151458	2125.3	994	https://www.orthodb.org/v10?query=499at7088	DNA-directed RNA polymerase III subunit RPC2
504at7088	Complete	M11_B22_H13a	8144819	8169753	1544.9	974	https://www.orthodb.org/v10?query=504at7088	TBC1 domain family member 30
505at7088	Complete	M08_B17_H15	10571987	10578904	1923.4	1012	https://www.orthodb.org/v10?query=505at7088	intraflagellar transport protein 140 homolog
506at7088	Complete	M01_B01_H21	13291678	13305649	1912.0	970	https://www.orthodb.org/v10?query=506at7088	Transient receptor potential A1
